z, Pressure_0, Pressure_1, Pressure_2, Pressure_3, Pressure_4, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, Velocity_3_3, GasTemperature_3_3, SolidTemperature_3_3, CH4_3_3, CO_3_3, O2_3_3, CO2_3_3, H2_3_3, H2O_3_3, AR_3_3, H(s)_3_3, O(s)_3_3, CH4(s)_3_3, H2O(s)_3_3, CO2(s)_3_3, CO(s)_3_3, OH(s)_3_3, C(s)_3_3, HCO(s)_3_3, CH(s)_3_3, CH3(s)_3_3, CH2(s)_3_3, COOH(s)_3_3, Ni(s)_3_3, Velocity_4_4, GasTemperature_4_4, SolidTemperature_4_4, CH4_4_4, CO_4_4, O2_4_4, CO2_4_4, H2_4_4, H2O_4_4, AR_4_4, H(s)_4_4, O(s)_4_4, CH4(s)_4_4, H2O(s)_4_4, CO2(s)_4_4, CO(s)_4_4, OH(s)_4_4, C(s)_4_4, HCO(s)_4_4, CH(s)_4_4, CH3(s)_4_4, CH2(s)_4_4, COOH(s)_4_4, Ni(s)_4_4, 
0.000526316, 1.00024e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.141871, 1173, 1173, 0.179906, 0.0330998, 9.95567e-17, 0.0817688, 0.024571, 0.682773, 2.28384e-05, 0.256087, 0.00753591, 4.25303e-09, 0.00428372, 2.37996e-05, 0.260715, 0.000237475, 8.3666e-08, 6.43197e-11, 1.47522e-11, 1.22731e-09, 3.80201e-10, 4.9369e-08, 0.471117, 0.14179, 1173, 1173, 0.171625, 0.0314094, 9.64511e-17, 0.0781411, 0.0232256, 0.651074, 2.17846e-05, 0.255534, 0.00761311, 4.26769e-09, 0.00429672, 2.39647e-05, 0.260508, 0.00023905, 8.27873e-08, 6.39711e-11, 1.48595e-11, 1.23296e-09, 3.82763e-10, 4.95341e-08, 0.471785, 0.141267, 1173, 1173, 0.176525, 0.0319424, 1.05765e-16, 0.0818122, 0.0230577, 0.669496, 2.24008e-05, 0.253021, 0.00792197, 4.31496e-09, 0.00434323, 2.48133e-05, 0.260474, 0.000245167, 7.9921e-08, 6.30306e-11, 1.52581e-11, 1.2525e-09, 3.9218e-10, 5.05513e-08, 0.47397, 0.138884, 1173, 1173, 0.185508, 0.0249764, 1.51786e-16, 0.0647059, 0.0194823, 0.684101, 2.23072e-05, 0.246437, 0.0100573, 4.84914e-09, 0.00474593, 2.5073e-05, 0.240853, 0.000288759, 5.5438e-08, 4.88966e-11, 1.86883e-11, 1.45335e-09, 4.75305e-10, 4.74153e-08, 0.497593, 0.137664, 1173, 1173, 0.191262, 0.025619, 1.70717e-16, 0.0686763, 0.0191929, 0.705852, 2.30344e-05, 0.242771, 0.0105862, 4.90044e-09, 0.00479977, 2.63997e-05, 0.241433, 0.000297929, 5.32403e-08, 4.81877e-11, 1.93182e-11, 1.48102e-09, 4.89889e-10, 4.89392e-08, 0.500086, 
0.00157895, 1.00023e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.15052, 1173, 1173, 0.142669, 0.0649978, 3.54108e-17, 0.126855, 0.0380376, 0.616367, 2.25532e-05, 0.269144, 0.00379346, 2.78829e-09, 0.00319691, 2.25638e-05, 0.317057, 0.000145557, 2.32013e-07, 1.27138e-10, 8.00562e-12, 7.65886e-10, 2.10215e-10, 5.69293e-08, 0.40664, 0.150266, 1173, 1173, 0.143016, 0.0652567, 3.61667e-17, 0.128681, 0.0377773, 0.618488, 2.26478e-05, 0.268309, 0.00383573, 2.79471e-09, 0.0032075, 2.28853e-05, 0.317522, 0.000146607, 2.30522e-07, 1.27133e-10, 8.05065e-12, 7.67936e-10, 2.11303e-10, 5.75164e-08, 0.406957, 0.149058, 1173, 1173, 0.146523, 0.0642741, 3.91275e-17, 0.130579, 0.0370302, 0.628922, 2.29506e-05, 0.266758, 0.00400874, 2.86599e-09, 0.00326476, 2.34049e-05, 0.315807, 0.000151209, 2.19101e-07, 1.23694e-10, 8.34497e-12, 7.88842e-10, 2.18877e-10, 5.80521e-08, 0.409987, 0.147724, 1173, 1173, 0.159043, 0.0519956, 4.8446e-17, 0.110819, 0.0342437, 0.648957, 2.29094e-05, 0.268209, 0.00465984, 3.26428e-09, 0.00353489, 2.21618e-05, 0.296289, 0.000169637, 1.66795e-07, 1.01337e-10, 9.79663e-12, 9.05789e-10, 2.56949e-10, 5.30633e-08, 0.427116, 0.144456, 1173, 1173, 0.161024, 0.0500156, 6.03518e-17, 0.117068, 0.0306794, 0.654924, 2.31597e-05, 0.260543, 0.00533801, 3.42294e-09, 0.00369475, 2.48664e-05, 0.295849, 0.000185621, 1.47571e-07, 9.64358e-11, 1.07242e-11, 9.57981e-10, 2.7962e-10, 5.6879e-08, 0.434365, 
0.00263158, 1.00022e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.155846, 1173, 1173, 0.121468, 0.0902983, 2.24592e-17, 0.148143, 0.0462394, 0.586139, 2.26394e-05, 0.271431, 0.0027637, 2.13281e-09, 0.00273131, 2.20401e-05, 0.344244, 0.000114838, 3.69917e-07, 1.71844e-10, 5.85071e-12, 5.81783e-10, 1.51875e-10, 6.02014e-08, 0.378693, 0.155319, 1173, 1173, 0.122472, 0.0904345, 2.30758e-17, 0.150123, 0.0459819, 0.59009, 2.27832e-05, 0.270723, 0.00280252, 2.1477e-09, 0.0027462, 2.23179e-05, 0.344272, 0.000115956, 3.65482e-07, 1.71153e-10, 5.90597e-12, 5.8586e-10, 1.53358e-10, 6.07014e-08, 0.379317, 0.154389, 1173, 1173, 0.125478, 0.0871546, 2.45806e-17, 0.14881, 0.0447988, 0.594667, 2.27959e-05, 0.270152, 0.00292453, 2.22923e-09, 0.00280377, 2.25385e-05, 0.341298, 0.000119688, 3.45007e-07, 1.65289e-10, 6.1581e-12, 6.08282e-10, 1.60326e-10, 6.06361e-08, 0.382679, 0.153383, 1173, 1173, 0.137439, 0.0724857, 2.86039e-17, 0.130365, 0.0424713, 0.610644, 2.26539e-05, 0.273454, 0.00327946, 2.54886e-09, 0.00300543, 2.11911e-05, 0.32392, 0.000131222, 2.76626e-07, 1.40302e-10, 7.09551e-12, 6.97366e-10, 1.86368e-10, 5.57464e-08, 0.396189, 0.145496, 1173, 1173, 0.139792, 0.0687489, 3.91399e-17, 0.142916, 0.0360867, 0.617941, 2.3046e-05, 0.262585, 0.00399627, 2.74966e-09, 0.00322572, 2.53835e-05, 0.324642, 0.000150069, 2.33708e-07, 1.32456e-10, 8.05212e-12, 7.56828e-10, 2.10623e-10, 6.26766e-08, 0.405375, 
0.00368421, 1.0002e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.159538, 1173, 1173, 0.10696, 0.111715, 1.71282e-17, 0.161765, 0.0523405, 0.570205, 2.28872e-05, 0.271708, 0.00227159, 1.7384e-09, 0.00245946, 2.1695e-05, 0.361269, 9.87964e-05, 4.92779e-07, 2.05978e-10, 4.76343e-12, 4.74992e-10, 1.20588e-10, 6.20184e-08, 0.362171, 0.159153, 1173, 1173, 0.107452, 0.110557, 1.74493e-17, 0.161905, 0.0516925, 0.569867, 2.28341e-05, 0.271278, 0.00230382, 1.75878e-09, 0.00247543, 2.18803e-05, 0.360844, 9.98172e-05, 4.85341e-07, 2.04508e-10, 4.82067e-12, 4.80396e-10, 1.22249e-10, 6.23106e-08, 0.362977, 0.158079, 1173, 1173, 0.111431, 0.106615, 1.85137e-17, 0.159974, 0.0508372, 0.576815, 2.29009e-05, 0.271388, 0.00239237, 1.83962e-09, 0.00252718, 2.1903e-05, 0.357338, 0.000102775, 4.58684e-07, 1.97227e-10, 5.03112e-12, 5.02092e-10, 1.2842e-10, 6.18476e-08, 0.366229, 0.157703, 1173, 1173, 0.123303, 0.0914524, 2.0913e-17, 0.14407, 0.0490971, 0.593223, 2.28386e-05, 0.275127, 0.00262404, 2.10312e-09, 0.00268528, 2.06692e-05, 0.342215, 0.000110952, 3.81799e-07, 1.72036e-10, 5.70559e-12, 5.73867e-10, 1.48117e-10, 5.74476e-08, 0.377217, 0.146711, 1173, 1173, 0.123691, 0.0833937, 3.06527e-17, 0.159842, 0.038797, 0.58946, 2.28913e-05, 0.261444, 0.00339654, 2.34202e-09, 0.00296202, 2.63041e-05, 0.343733, 0.000132576, 3.07425e-07, 1.60762e-10, 6.69227e-12, 6.4087e-10, 1.74125e-10, 6.74995e-08, 0.388306, 
0.00473684, 1.00019e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.162407, 1173, 1173, 0.0952397, 0.128533, 1.41191e-17, 0.169496, 0.0566905, 0.555287, 2.29379e-05, 0.271625, 0.00198059, 1.47288e-09, 0.002279, 2.13565e-05, 0.3728, 8.88029e-05, 5.99926e-07, 2.32468e-10, 4.11724e-12, 4.04557e-10, 1.00923e-10, 6.29344e-08, 0.351204, 0.161954, 1173, 1173, 0.0962569, 0.127061, 1.43772e-17, 0.16927, 0.0561727, 0.55619, 2.29084e-05, 0.271458, 0.00200731, 1.49659e-09, 0.00229494, 2.14554e-05, 0.37201, 8.97119e-05, 5.89834e-07, 2.30295e-10, 4.17361e-12, 4.10769e-10, 1.02662e-10, 6.3023e-08, 0.352118, 0.161192, 1173, 1173, 0.0984743, 0.119514, 1.48205e-17, 0.162751, 0.0542476, 0.551016, 2.24537e-05, 0.272064, 0.00207814, 1.57798e-09, 0.00234325, 2.13367e-05, 0.368044, 9.22366e-05, 5.57412e-07, 2.21714e-10, 4.36115e-12, 4.32338e-10, 1.08452e-10, 6.2243e-08, 0.355356, 0.160894, 1173, 1173, 0.111186, 0.107285, 1.67059e-17, 0.15259, 0.0539027, 0.576287, 2.28498e-05, 0.275596, 0.00224221, 1.79487e-09, 0.00246889, 2.03085e-05, 0.355301, 9.83434e-05, 4.78973e-07, 1.98134e-10, 4.86411e-12, 4.90597e-10, 1.23806e-10, 5.85454e-08, 0.364272, 0.144887, 1173, 1173, 0.113172, 0.0977719, 2.68809e-17, 0.177737, 0.0410123, 0.579795, 2.33112e-05, 0.259093, 0.00306533, 2.05259e-09, 0.00279073, 2.74895e-05, 0.35828, 0.00012225, 3.70955e-07, 1.84467e-10, 5.83115e-12, 5.60394e-10, 1.50292e-10, 7.20703e-08, 0.376621, 
0.00578947, 1.00018e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.164707, 1173, 1173, 0.0845953, 0.141314, 1.20189e-17, 0.172925, 0.0595077, 0.537002, 2.27068e-05, 0.271374, 0.00178243, 1.27354e-09, 0.00214545, 2.10588e-05, 0.381529, 8.1738e-05, 6.96868e-07, 2.54465e-10, 3.68041e-12, 3.52441e-10, 8.68912e-11, 6.34683e-08, 0.343066, 0.164452, 1173, 1173, 0.0861149, 0.139891, 1.22574e-17, 0.1727, 0.0592509, 0.539771, 2.2739e-05, 0.271429, 0.00180444, 1.29891e-09, 0.00216066, 2.10854e-05, 0.380472, 8.25322e-05, 6.84673e-07, 2.51731e-10, 3.734e-12, 3.59046e-10, 8.86321e-11, 6.33835e-08, 0.34403, 0.163648, 1173, 1173, 0.0897351, 0.13345, 1.27177e-17, 0.167904, 0.0581687, 0.541751, 2.25705e-05, 0.272301, 0.00186095, 1.37549e-09, 0.00220379, 2.08974e-05, 0.376477, 8.46468e-05, 6.49268e-07, 2.42692e-10, 3.89443e-12, 3.79159e-10, 9.38232e-11, 6.24723e-08, 0.347051, 0.163642, 1173, 1173, 0.0996866, 0.119485, 1.38892e-17, 0.15656, 0.0569794, 0.554875, 2.25463e-05, 0.275609, 0.00198864, 1.56363e-09, 0.00230977, 2.0019e-05, 0.365291, 8.95817e-05, 5.68971e-07, 2.20211e-10, 4.29628e-12, 4.29153e-10, 1.06617e-10, 5.92697e-08, 0.354691, 0.144374, 1173, 1173, 0.101899, 0.108355, 2.41809e-17, 0.190083, 0.0415261, 0.560466, 2.324e-05, 0.256356, 0.0028592, 1.82898e-09, 0.00266973, 2.87854e-05, 0.37001, 0.000115481, 4.26087e-07, 2.0489e-10, 5.21574e-12, 4.98993e-10, 1.32864e-10, 7.64249e-08, 0.36796, 
0.00684211, 1.00017e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.166628, 1173, 1173, 0.0770444, 0.152407, 1.07156e-17, 0.175969, 0.0621452, 0.526883, 2.26789e-05, 0.271221, 0.00164602, 1.12867e-09, 0.0020484, 2.07648e-05, 0.387781, 7.67513e-05, 7.78397e-07, 2.71547e-10, 3.39004e-12, 3.15023e-10, 7.70653e-11, 6.3633e-08, 0.337206, 0.166298, 1173, 1173, 0.0787531, 0.150963, 1.09234e-17, 0.175648, 0.0620302, 0.53035, 2.27353e-05, 0.271409, 0.00166466, 1.15415e-09, 0.00206269, 2.07498e-05, 0.386597, 7.74532e-05, 7.64869e-07, 2.68499e-10, 3.43952e-12, 3.21623e-10, 7.8743e-11, 6.345e-08, 0.338168, 0.165676, 1173, 1173, 0.0810617, 0.141644, 1.10584e-17, 0.167725, 0.05997, 0.523152, 2.21782e-05, 0.272434, 0.00171296, 1.22762e-09, 0.00210257, 2.05268e-05, 0.382597, 7.93248e-05, 7.26849e-07, 2.59102e-10, 3.58239e-12, 3.40786e-10, 8.35588e-11, 6.24728e-08, 0.341053, 0.165753, 1173, 1173, 0.0940307, 0.135029, 1.25383e-17, 0.165745, 0.0617241, 0.559631, 2.32066e-05, 0.275349, 0.00181379, 1.38724e-09, 0.00219109, 1.98121e-05, 0.373079, 8.33264e-05, 6.49506e-07, 2.38709e-10, 3.90101e-12, 3.82852e-10, 9.40994e-11, 5.98191e-08, 0.347464, 0.141367, 1173, 1173, 0.0926515, 0.117074, 2.27261e-17, 0.201899, 0.0413903, 0.545294, 2.3242e-05, 0.253318, 0.00274355, 1.65728e-09, 0.00258853, 3.02559e-05, 0.379497, 0.000111388, 4.69968e-07, 2.21767e-10, 4.77315e-12, 4.5218e-10, 1.20112e-10, 8.07459e-08, 0.361711, 
0.00736842, 1.00016e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.16747, 1173, 1173, 0.0750313, 0.160559, 1.0385e-17, 0.180601, 0.0645706, 0.532389, 2.31016e-05, 0.271151, 0.00158869, 1.06538e-09, 0.00200616, 2.06199e-05, 0.390493, 7.46213e-05, 8.17279e-07, 2.79309e-10, 3.27088e-12, 2.98801e-10, 7.28753e-11, 6.36518e-08, 0.334665, 0.167272, 1173, 1173, 0.0745357, 0.154169, 1.0248e-17, 0.174718, 0.0625402, 0.519868, 2.24626e-05, 0.271402, 0.00160641, 1.09151e-09, 0.00202037, 2.05867e-05, 0.389225, 7.53014e-05, 8.0278e-07, 2.76039e-10, 3.31975e-12, 3.05553e-10, 7.45665e-11, 6.34214e-08, 0.33565, 0.166598, 1173, 1173, 0.0801328, 0.15115, 1.08471e-17, 0.174126, 0.0631501, 0.534929, 2.28634e-05, 0.272451, 0.00165038, 1.16163e-09, 0.00205792, 2.03599e-05, 0.385344, 7.70311e-05, 7.64588e-07, 2.66756e-10, 3.45148e-12, 3.23787e-10, 7.90978e-11, 6.24546e-08, 0.338398, 0.1667, 1173, 1173, 0.0894946, 0.139499, 1.17563e-17, 0.166445, 0.0626209, 0.550394, 2.30343e-05, 0.275206, 0.00174281, 1.31163e-09, 0.00214074, 1.97116e-05, 0.376409, 8.07358e-05, 6.87603e-07, 2.47039e-10, 3.74149e-12, 3.63156e-10, 8.8879e-11, 6.00132e-08, 0.3444, 0.141239, 1173, 1173, 0.0874764, 0.119552, 2.19356e-17, 0.205038, 0.0407474, 0.532319, 2.29818e-05, 0.251848, 0.00270088, 1.58245e-09, 0.00255559, 3.0985e-05, 0.383655, 0.000109813, 4.89445e-07, 2.29357e-10, 4.58537e-12, 4.31845e-10, 1.14661e-10, 8.28091e-08, 0.359099, 
0.00763158, 1.00016e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.167906, 1173, 1173, 0.0734414, 0.163307, 1.01394e-17, 0.181419, 0.0652416, 0.530843, 2.3125e-05, 0.271109, 0.00156217, 1.03546e-09, 0.00198626, 2.05512e-05, 0.391782, 7.3628e-05, 8.3641e-07, 2.83058e-10, 3.2163e-12, 2.9116e-10, 7.09179e-11, 6.36577e-08, 0.333466, 0.167617, 1173, 1173, 0.073369, 0.15752, 1.00678e-17, 0.17628, 0.0635075, 0.520881, 2.25923e-05, 0.27139, 0.0015794, 1.06173e-09, 0.0020004, 2.05091e-05, 0.390476, 7.42958e-05, 8.21469e-07, 2.79688e-10, 3.2645e-12, 2.97941e-10, 7.26048e-11, 6.34045e-08, 0.334459, 0.167016, 1173, 1173, 0.0783785, 0.153441, 1.05637e-17, 0.174481, 0.0636972, 0.532129, 2.28343e-05, 0.272445, 0.00162164, 1.13056e-09, 0.00203699, 2.02826e-05, 0.386648, 7.59683e-05, 7.83103e-07, 2.70445e-10, 3.3917e-12, 3.15809e-10, 7.70232e-11, 6.24463e-08, 0.337151, 0.167173, 1173, 1173, 0.0878619, 0.142536, 1.14726e-17, 0.167795, 0.063434, 0.549373, 2.30942e-05, 0.275128, 0.00171008, 1.27583e-09, 0.00211706, 1.96628e-05, 0.377987, 7.95307e-05, 7.06434e-07, 2.51072e-10, 3.66809e-12, 3.53862e-10, 8.6438e-11, 6.00993e-08, 0.342957, 0.139699, 1173, 1173, 0.088443, 0.125866, 2.24722e-17, 0.215356, 0.0420961, 0.547901, 2.38119e-05, 0.251068, 0.00268118, 1.54467e-09, 0.00253953, 3.13781e-05, 0.385766, 0.000109067, 4.99334e-07, 2.33247e-10, 4.49162e-12, 4.21591e-10, 1.11932e-10, 8.3902e-08, 0.357804, 
0.00789474, 1.00016e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.168278, 1173, 1173, 0.0709366, 0.163592, 9.78289e-18, 0.179601, 0.0649625, 0.521988, 2.28231e-05, 0.271077, 0.00153755, 1.00758e-09, 0.00196764, 2.04819e-05, 0.392974, 7.27023e-05, 8.54738e-07, 2.86585e-10, 3.16642e-12, 2.84057e-10, 6.91055e-11, 6.36482e-08, 0.33235, 0.168112, 1173, 1173, 0.0726744, 0.161765, 9.953e-18, 0.178846, 0.0648377, 0.525023, 2.28561e-05, 0.271376, 0.00155403, 1.03349e-09, 0.00198143, 2.04342e-05, 0.391666, 7.33465e-05, 8.39695e-07, 2.832e-10, 3.21317e-12, 2.90738e-10, 7.07575e-11, 6.33837e-08, 0.333328, 0.167442, 1173, 1173, 0.0759409, 0.154027, 1.01986e-17, 0.173008, 0.0635637, 0.524106, 2.25745e-05, 0.272443, 0.00159503, 1.10149e-09, 0.00201743, 2.0207e-05, 0.387861, 7.49795e-05, 8.00869e-07, 2.73929e-10, 3.33679e-12, 3.08361e-10, 7.50953e-11, 6.24279e-08, 0.335987, 0.167604, 1173, 1173, 0.0878128, 0.148111, 1.14087e-17, 0.172104, 0.0653639, 0.558186, 2.35661e-05, 0.275041, 0.00167946, 1.24166e-09, 0.00209459, 1.96183e-05, 0.379504, 7.83959e-05, 7.24915e-07, 2.54989e-10, 3.59939e-12, 3.45012e-10, 8.41279e-11, 6.01855e-08, 0.341582, 0.14009, 1173, 1173, 0.085318, 0.126104, 2.19797e-17, 0.215404, 0.0414293, 0.537688, 2.35154e-05, 0.250311, 0.00266482, 1.50989e-09, 0.00252531, 3.17646e-05, 0.387723, 0.000108429, 5.08363e-07, 2.36852e-10, 4.4061e-12, 4.12159e-10, 1.09439e-10, 8.49566e-08, 0.356635, 
0.00802632, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.1685, 1173, 1173, 0.070169, 0.164758, 9.6742e-18, 0.179839, 0.065234, 0.520977, 2.282e-05, 0.27106, 0.0015257, 9.94031e-10, 0.00195861, 2.04478e-05, 0.393553, 7.22553e-05, 8.63799e-07, 2.88313e-10, 3.14253e-12, 2.8061e-10, 6.82291e-11, 6.3642e-08, 0.331808, 0.168222, 1173, 1173, 0.0704606, 0.159615, 9.64174e-18, 0.17544, 0.0637982, 0.513412, 2.23909e-05, 0.27137, 0.00154191, 1.01995e-09, 0.00197231, 2.03969e-05, 0.392235, 7.28917e-05, 8.48615e-07, 2.84898e-10, 3.18893e-12, 2.87291e-10, 6.98763e-11, 6.33696e-08, 0.332786, 0.167639, 1173, 1173, 0.0765487, 0.158018, 1.02646e-17, 0.176422, 0.0650197, 0.532694, 2.29868e-05, 0.272438, 0.00158218, 1.08724e-09, 0.00200789, 2.01706e-05, 0.388457, 7.45003e-05, 8.09714e-07, 2.75652e-10, 3.31027e-12, 3.04718e-10, 7.41563e-11, 6.24202e-08, 0.335419, 0.167826, 1173, 1173, 0.0876589, 0.150694, 1.13649e-17, 0.174005, 0.066235, 0.561796, 2.37682e-05, 0.274998, 0.00166486, 1.22517e-09, 0.00208379, 1.95964e-05, 0.380235, 7.7853e-05, 7.34e-07, 2.56896e-10, 3.56669e-12, 3.40748e-10, 8.30194e-11, 6.02251e-08, 0.34092, 0.13882, 1173, 1173, 0.085081, 0.128155, 2.20793e-17, 0.218758, 0.0417288, 0.540893, 2.37302e-05, 0.249928, 0.0026572, 1.4927e-09, 0.00251843, 3.19624e-05, 0.388692, 0.000108127, 5.12814e-07, 2.38643e-10, 4.36402e-12, 4.07499e-10, 1.08212e-10, 8.54912e-08, 0.356064, 
0.00809211, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.16857, 1173, 1173, 0.0697274, 0.165187, 9.61271e-18, 0.179793, 0.0653097, 0.520013, 2.2798e-05, 0.271052, 0.00151989, 9.87364e-10, 0.00195417, 2.04309e-05, 0.393838, 7.20358e-05, 8.68298e-07, 2.89167e-10, 3.13087e-12, 2.78916e-10, 6.77991e-11, 6.36385e-08, 0.331542, 0.16841, 1173, 1173, 0.0699195, 0.159781, 9.56436e-18, 0.175113, 0.0637761, 0.511665, 2.23346e-05, 0.271367, 0.00153596, 1.01326e-09, 0.00196781, 2.03786e-05, 0.392517, 7.26679e-05, 8.53059e-07, 2.85741e-10, 3.17704e-12, 2.85589e-10, 6.94419e-11, 6.33628e-08, 0.332519, 0.167747, 1173, 1173, 0.0768194, 0.159966, 1.02943e-17, 0.178067, 0.0657259, 0.536785, 2.31847e-05, 0.272436, 0.00157588, 1.08024e-09, 0.0020032, 2.01527e-05, 0.388751, 7.42651e-05, 8.14108e-07, 2.76504e-10, 3.29734e-12, 3.02929e-10, 7.3696e-11, 6.24161e-08, 0.335139, 0.167926, 1173, 1173, 0.0882878, 0.153219, 1.14369e-17, 0.176371, 0.0672097, 0.568156, 2.40622e-05, 0.274975, 0.0016577, 1.21703e-09, 0.00207847, 1.95856e-05, 0.380596, 7.75862e-05, 7.38529e-07, 2.57843e-10, 3.55065e-12, 3.38645e-10, 8.24739e-11, 6.02448e-08, 0.340594, 0.139646, 1173, 1173, 0.0839911, 0.1277, 2.18766e-17, 0.217914, 0.0413977, 0.53629, 2.35649e-05, 0.249737, 0.00265358, 1.48426e-09, 0.00251509, 3.20611e-05, 0.389168, 0.000107981, 5.14994e-07, 2.39524e-10, 4.34341e-12, 4.05211e-10, 1.0761e-10, 8.57569e-08, 0.355786, 
0.008125, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00015e+06, 0.168645, 1173, 1173, 0.0694221, 0.165195, 9.56404e-18, 0.179548, 0.0652664, 0.51889, 2.27589e-05, 0.271048, 0.00151702, 9.84059e-10, 0.00195197, 2.04225e-05, 0.39398, 7.19271e-05, 8.70539e-07, 2.89592e-10, 3.12511e-12, 2.78076e-10, 6.75862e-11, 6.36367e-08, 0.33141, 0.16837, 1173, 1173, 0.0695181, 0.159557, 9.50734e-18, 0.174616, 0.0636429, 0.50982, 2.2264e-05, 0.271365, 0.00153301, 1.00994e-09, 0.00196558, 2.03695e-05, 0.392656, 7.25569e-05, 8.55274e-07, 2.86161e-10, 3.17116e-12, 2.84745e-10, 6.92267e-11, 6.33593e-08, 0.332386, 0.167788, 1173, 1173, 0.076511, 0.160016, 1.02491e-17, 0.17786, 0.0656993, 0.535731, 2.31497e-05, 0.272434, 0.00157277, 1.07677e-09, 0.00200088, 2.01438e-05, 0.388897, 7.41488e-05, 8.16293e-07, 2.76927e-10, 3.29095e-12, 3.02043e-10, 7.34683e-11, 6.24139e-08, 0.335, 0.167985, 1173, 1173, 0.087999, 0.153437, 1.13927e-17, 0.17635, 0.0672387, 0.567455, 2.40451e-05, 0.274964, 0.00165416, 1.21301e-09, 0.00207583, 1.95803e-05, 0.380776, 7.7454e-05, 7.40787e-07, 2.58314e-10, 3.54275e-12, 3.37605e-10, 8.22043e-11, 6.02544e-08, 0.340432, 0.138597, 1173, 1173, 0.0851144, 0.130015, 2.22115e-17, 0.221834, 0.0420551, 0.544652, 2.39511e-05, 0.249641, 0.0026518, 1.48004e-09, 0.00251343, 3.2111e-05, 0.389406, 0.000107909, 5.16084e-07, 2.39965e-10, 4.33312e-12, 4.04067e-10, 1.0731e-10, 8.58907e-08, 0.355647, 
