z, Pressure_0, Pressure_1, Pressure_2, Pressure_3, Pressure_4, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, Velocity_3_3, GasTemperature_3_3, SolidTemperature_3_3, CH4_3_3, CO_3_3, O2_3_3, CO2_3_3, H2_3_3, H2O_3_3, AR_3_3, H(s)_3_3, O(s)_3_3, CH4(s)_3_3, H2O(s)_3_3, CO2(s)_3_3, CO(s)_3_3, OH(s)_3_3, C(s)_3_3, HCO(s)_3_3, CH(s)_3_3, CH3(s)_3_3, CH2(s)_3_3, COOH(s)_3_3, Ni(s)_3_3, Velocity_4_4, GasTemperature_4_4, SolidTemperature_4_4, CH4_4_4, CO_4_4, O2_4_4, CO2_4_4, H2_4_4, H2O_4_4, AR_4_4, H(s)_4_4, O(s)_4_4, CH4(s)_4_4, H2O(s)_4_4, CO2(s)_4_4, CO(s)_4_4, OH(s)_4_4, C(s)_4_4, HCO(s)_4_4, CH(s)_4_4, CH3(s)_4_4, CH2(s)_4_4, COOH(s)_4_4, Ni(s)_4_4, 
0.000526316, 1.00024e+06, 1.00024e+06, 1.00024e+06, 1.00193e+06, 1.00156e+06, 0.141895, 1173, 1173, 0.174273, 0.0183634, 4.83444e-17, 0.0288689, 0.189446, 0.58904, 8.88417e-06, 0.256102, 0.00753509, 4.25273e-09, 0.00428374, 2.37937e-05, 0.2607, 0.000237462, 8.3664e-08, 6.43145e-11, 1.47504e-11, 1.22721e-09, 3.80157e-10, 4.93596e-08, 0.471118, 0.14178, 1173, 1173, 0.174534, 0.0183411, 4.9341e-17, 0.0290497, 0.188172, 0.589895, 8.90089e-06, 0.255519, 0.00760537, 4.26374e-09, 0.00429464, 2.39863e-05, 0.260686, 0.000238871, 8.2975e-08, 6.409e-11, 1.48415e-11, 1.23169e-09, 3.82311e-10, 4.95918e-08, 0.471632, 0.141232, 1173, 1173, 0.175714, 0.0182328, 5.27004e-17, 0.0297269, 0.182735, 0.593582, 8.95645e-06, 0.253011, 0.0079184, 4.31317e-09, 0.00434225, 2.48249e-05, 0.26056, 0.000245084, 8.00057e-08, 6.30861e-11, 1.52499e-11, 1.25192e-09, 3.91974e-10, 5.05806e-08, 0.473898, 0.138884, 1173, 1173, 0.187845, 0.014481, 7.7256e-17, 0.0238751, 0.156958, 0.616832, 9.07049e-06, 0.246435, 0.0100588, 4.84984e-09, 0.00474617, 2.50714e-05, 0.240833, 0.000288788, 5.54221e-08, 4.88855e-11, 1.8692e-11, 1.45359e-09, 4.75396e-10, 4.74097e-08, 0.497613, 0.13767, 1173, 1173, 0.188923, 0.0144976, 8.48156e-17, 0.0247313, 0.150913, 0.620926, 9.13718e-06, 0.242787, 0.0105828, 4.89981e-09, 0.00479936, 2.63957e-05, 0.241446, 0.000297869, 5.32605e-08, 4.81989e-11, 1.93132e-11, 1.48076e-09, 4.89769e-10, 4.89374e-08, 0.500061, 
0.00157895, 1.00023e+06, 1.00023e+06, 1.00023e+06, 1.00185e+06, 1.00147e+06, 0.150511, 1173, 1173, 0.132373, 0.034548, 1.64931e-17, 0.0429232, 0.280822, 0.509326, 8.40402e-06, 0.269125, 0.00379419, 2.78819e-09, 0.00319706, 2.25716e-05, 0.317076, 0.000145574, 2.32004e-07, 1.27149e-10, 8.00585e-12, 7.65864e-10, 2.10219e-10, 5.6945e-08, 0.40664, 0.150214, 1173, 1173, 0.132654, 0.0346161, 1.68421e-17, 0.0434699, 0.278543, 0.510708, 8.43213e-06, 0.268299, 0.00383945, 2.79691e-09, 0.00320895, 2.28858e-05, 0.317435, 0.000146712, 2.30185e-07, 1.27009e-10, 8.05857e-12, 7.6857e-10, 2.11511e-10, 5.75031e-08, 0.407048, 0.149073, 1173, 1173, 0.135003, 0.0338788, 1.8319e-17, 0.0438264, 0.271314, 0.515969, 8.48894e-06, 0.266757, 0.00401184, 2.86753e-09, 0.00326602, 2.34031e-05, 0.315727, 0.000151297, 2.18828e-07, 1.23589e-10, 8.35076e-12, 7.89295e-10, 2.19029e-10, 5.80365e-08, 0.410064, 0.147721, 1173, 1173, 0.147324, 0.0275801, 2.22564e-17, 0.0374177, 0.252376, 0.535294, 8.52167e-06, 0.268205, 0.00466055, 3.26474e-09, 0.00353509, 2.21622e-05, 0.296277, 0.000169655, 1.66758e-07, 1.01322e-10, 9.7984e-12, 9.05921e-10, 2.56994e-10, 5.30618e-08, 0.42713, 0.14444, 1173, 1173, 0.151935, 0.0270419, 2.86888e-17, 0.0402854, 0.23038, 0.550349, 8.77663e-06, 0.26053, 0.00533766, 3.42247e-09, 0.0036945, 2.48736e-05, 0.295885, 0.000185609, 1.47618e-07, 9.6465e-11, 1.07227e-11, 9.57845e-10, 2.79581e-10, 5.68954e-08, 0.434343, 
0.00263158, 1.00022e+06, 1.00022e+06, 1.00021e+06, 1.00176e+06, 1.00138e+06, 0.155837, 1173, 1173, 0.108744, 0.0462937, 1.0084e-17, 0.0483501, 0.329326, 0.467278, 8.13871e-06, 0.271418, 0.00276447, 2.13314e-09, 0.00273161, 2.20451e-05, 0.344242, 0.00011486, 3.69823e-07, 1.71827e-10, 5.85189e-12, 5.81875e-10, 1.51907e-10, 6.02101e-08, 0.378707, 0.155336, 1173, 1173, 0.109368, 0.0461949, 1.01438e-17, 0.0488229, 0.326511, 0.469095, 8.16613e-06, 0.270735, 0.0028041, 2.14919e-09, 0.0027471, 2.23134e-05, 0.344197, 0.000116008, 3.65114e-07, 1.71029e-10, 5.91015e-12, 5.86269e-10, 1.53476e-10, 6.06819e-08, 0.379378, 0.154399, 1173, 1173, 0.112474, 0.0447306, 1.09947e-17, 0.0486145, 0.319498, 0.474675, 8.20455e-06, 0.270155, 0.0029251, 2.22957e-09, 0.00280409, 2.25377e-05, 0.341275, 0.000119707, 3.44894e-07, 1.65252e-10, 6.15912e-12, 6.08376e-10, 1.60355e-10, 6.06316e-08, 0.382698, 0.153377, 1173, 1173, 0.124, 0.0374699, 1.29338e-17, 0.0428875, 0.304982, 0.490653, 8.2087e-06, 0.27345, 0.00327894, 2.54848e-09, 0.00300514, 2.11928e-05, 0.323943, 0.000131205, 2.7671e-07, 1.40333e-10, 7.09434e-12, 6.97261e-10, 1.86336e-10, 5.57524e-08, 0.39617, 0.145495, 1173, 1173, 0.130836, 0.0368256, 1.83237e-17, 0.0487381, 0.268633, 0.514958, 8.65977e-06, 0.262582, 0.00399817, 2.75073e-09, 0.00322645, 2.5383e-05, 0.324596, 0.000150121, 2.33536e-07, 1.32389e-10, 8.05602e-12, 7.57138e-10, 2.10725e-10, 6.26677e-08, 0.405421, 
0.00368421, 1.0002e+06, 1.0002e+06, 1.0002e+06, 1.00166e+06, 1.0013e+06, 0.159524, 1173, 1173, 0.0926864, 0.0554274, 7.4364e-18, 0.0510906, 0.360824, 0.439964, 7.96314e-06, 0.271706, 0.00227207, 1.73883e-09, 0.00245972, 2.16961e-05, 0.361254, 9.8812e-05, 4.92641e-07, 2.05944e-10, 4.76455e-12, 4.75106e-10, 1.2062e-10, 6.20183e-08, 0.362187, 0.159126, 1173, 1173, 0.0935615, 0.0551183, 7.62e-18, 0.0513763, 0.358106, 0.441829, 7.98304e-06, 0.271281, 0.00230411, 1.75914e-09, 0.00247563, 2.18794e-05, 0.360827, 9.98275e-05, 4.85231e-07, 2.04475e-10, 4.82156e-12, 4.80492e-10, 1.22275e-10, 6.23063e-08, 0.36299, 0.158099, 1173, 1173, 0.0969867, 0.0531333, 8.04985e-18, 0.0507465, 0.35206, 0.447065, 8.00333e-06, 0.271392, 0.0023927, 1.83988e-09, 0.00252741, 2.19018e-05, 0.357319, 0.000102787, 4.58568e-07, 1.97192e-10, 5.03178e-12, 5.02164e-10, 1.2844e-10, 6.18426e-08, 0.366244, 0.15769, 1173, 1173, 0.107471, 0.0456683, 9.13863e-18, 0.0457877, 0.34058, 0.460485, 7.99484e-06, 0.27512, 0.00262382, 2.10285e-09, 0.0026851, 2.06716e-05, 0.342236, 0.000110943, 3.81883e-07, 1.72066e-10, 5.7049e-12, 5.73791e-10, 1.48097e-10, 5.74549e-08, 0.377204, 0.146708, 1173, 1173, 0.116329, 0.0449077, 1.44567e-17, 0.054786, 0.290319, 0.493649, 8.64438e-06, 0.261448, 0.00339691, 2.34238e-09, 0.00296222, 2.63018e-05, 0.343713, 0.000132587, 3.07355e-07, 1.60733e-10, 6.69333e-12, 6.40971e-10, 1.74154e-10, 6.74923e-08, 0.38832, 
0.00473684, 1.00019e+06, 1.00019e+06, 1.00019e+06, 1.00157e+06, 1.00121e+06, 0.162408, 1173, 1173, 0.0809817, 0.0625767, 5.98668e-18, 0.052526, 0.383498, 0.42041, 7.83094e-06, 0.271626, 0.00198087, 1.47322e-09, 0.00227918, 2.13566e-05, 0.372787, 8.88127e-05, 5.99799e-07, 2.32436e-10, 4.11801e-12, 4.04645e-10, 1.00947e-10, 6.29326e-08, 0.351216, 0.161967, 1173, 1173, 0.0820786, 0.0620213, 6.14666e-18, 0.0525933, 0.38104, 0.422259, 7.84224e-06, 0.271465, 0.00200767, 1.49709e-09, 0.00229521, 2.14533e-05, 0.371982, 8.97253e-05, 5.89632e-07, 2.30237e-10, 4.17473e-12, 4.10903e-10, 1.02697e-10, 6.30149e-08, 0.352139, 0.16121, 1173, 1173, 0.0857349, 0.059588, 6.49191e-18, 0.051648, 0.375814, 0.427207, 7.8498e-06, 0.272066, 0.0020783, 1.5781e-09, 0.00234337, 2.13363e-05, 0.368034, 9.22427e-05, 5.57336e-07, 2.21694e-10, 4.36143e-12, 4.32372e-10, 1.08462e-10, 6.22409e-08, 0.355364, 0.160882, 1173, 1173, 0.0949972, 0.0525025, 7.15318e-18, 0.0475294, 0.366481, 0.438482, 7.84006e-06, 0.275592, 0.0022423, 1.79489e-09, 0.00246891, 2.03098e-05, 0.355305, 9.83458e-05, 4.78968e-07, 1.98136e-10, 4.8642e-12, 4.90601e-10, 1.23808e-10, 5.85484e-08, 0.364273, 0.144888, 1173, 1173, 0.10511, 0.0520157, 1.25346e-17, 0.0601851, 0.303117, 0.479563, 8.69491e-06, 0.259087, 0.00306544, 2.05252e-09, 0.00279073, 2.74924e-05, 0.358288, 0.000122253, 3.70963e-07, 1.84476e-10, 5.83106e-12, 5.60375e-10, 1.50289e-10, 7.20767e-08, 0.376619, 
0.00578947, 1.00018e+06, 1.00018e+06, 1.00018e+06, 1.00147e+06, 1.00112e+06, 0.164696, 1173, 1173, 0.0716806, 0.0685646, 5.09352e-18, 0.0534024, 0.401187, 0.405157, 7.72522e-06, 0.271377, 0.00178254, 1.27377e-09, 0.00214554, 2.10578e-05, 0.381518, 8.17423e-05, 6.96781e-07, 2.54441e-10, 3.68088e-12, 3.52501e-10, 8.69062e-11, 6.34648e-08, 0.343073, 0.164431, 1173, 1173, 0.0728978, 0.0678169, 5.2021e-18, 0.0532853, 0.399111, 0.406881, 7.72929e-06, 0.271432, 0.00180448, 1.29902e-09, 0.0021607, 2.10844e-05, 0.380464, 8.25338e-05, 6.8463e-07, 2.51717e-10, 3.73423e-12, 3.59076e-10, 8.86394e-11, 6.33805e-08, 0.344034, 0.163667, 1173, 1173, 0.0765213, 0.0651727, 5.43875e-18, 0.0521906, 0.394711, 0.411396, 7.7287e-06, 0.272302, 0.00186103, 1.37557e-09, 0.00220386, 2.0897e-05, 0.376471, 8.46502e-05, 6.49214e-07, 2.42678e-10, 3.89458e-12, 3.79179e-10, 9.38285e-11, 6.24708e-08, 0.347056, 0.16363, 1173, 1173, 0.0849968, 0.0583582, 5.95115e-18, 0.0486682, 0.386631, 0.421338, 7.72034e-06, 0.275605, 0.00198862, 1.56354e-09, 0.00230973, 2.00203e-05, 0.365299, 8.95807e-05, 5.69004e-07, 2.20223e-10, 4.2961e-12, 4.29129e-10, 1.06612e-10, 5.92733e-08, 0.354688, 0.144372, 1173, 1173, 0.0958898, 0.0583819, 1.1408e-17, 0.0651879, 0.310911, 0.469621, 8.78073e-06, 0.256361, 0.00285948, 1.82933e-09, 0.0026699, 2.87831e-05, 0.369992, 0.00011549, 4.25999e-07, 2.04857e-10, 5.21667e-12, 4.99088e-10, 1.32891e-10, 7.64175e-08, 0.367973, 
0.00684211, 1.00017e+06, 1.00017e+06, 1.00017e+06, 1.00137e+06, 1.00103e+06, 0.166632, 1173, 1173, 0.0646299, 0.0732113, 4.54371e-18, 0.0538007, 0.414795, 0.393556, 7.63877e-06, 0.271223, 0.00164609, 1.12884e-09, 0.00204846, 2.0764e-05, 0.387773, 7.6754e-05, 7.78328e-07, 2.71528e-10, 3.39037e-12, 3.15066e-10, 7.70759e-11, 6.363e-08, 0.337211, 0.166306, 1173, 1173, 0.0659006, 0.0723386, 4.59183e-18, 0.0535706, 0.413008, 0.395174, 7.63898e-06, 0.271412, 0.00166475, 1.15432e-09, 0.00206276, 2.07489e-05, 0.386587, 7.74566e-05, 7.64789e-07, 2.68478e-10, 3.43984e-12, 3.21667e-10, 7.87538e-11, 6.3447e-08, 0.338174, 0.165695, 1173, 1173, 0.0694976, 0.0695466, 4.77467e-18, 0.0524157, 0.409123, 0.399409, 7.63527e-06, 0.272435, 0.00171304, 1.2277e-09, 0.00210264, 2.05265e-05, 0.382592, 7.93278e-05, 7.26793e-07, 2.59088e-10, 3.58254e-12, 3.40807e-10, 8.35641e-11, 6.24716e-08, 0.341057, 0.165741, 1173, 1173, 0.076988, 0.0633234, 5.15437e-18, 0.0494723, 0.40216, 0.408048, 7.6303e-06, 0.275346, 0.00181383, 1.38723e-09, 0.0021911, 1.98129e-05, 0.373081, 8.33274e-05, 6.49506e-07, 2.38712e-10, 3.901e-12, 3.82849e-10, 9.40992e-11, 5.98211e-08, 0.347464, 0.141369, 1173, 1173, 0.0883867, 0.0639633, 1.0873e-17, 0.0702079, 0.314198, 0.463235, 8.90344e-06, 0.253318, 0.00274364, 1.65737e-09, 0.00258858, 3.02557e-05, 0.379493, 0.000111391, 4.69943e-07, 2.21759e-10, 4.77339e-12, 4.52203e-10, 1.20118e-10, 8.07448e-08, 0.361715, 
0.00736842, 1.00016e+06, 1.00016e+06, 1.00016e+06, 1.00132e+06, 1.00099e+06, 0.167459, 1173, 1173, 0.0614684, 0.0753247, 4.27935e-18, 0.0539262, 0.420906, 0.388368, 7.5992e-06, 0.271154, 0.00158874, 1.06552e-09, 0.00200621, 2.06192e-05, 0.390486, 7.46234e-05, 8.1722e-07, 2.79293e-10, 3.27115e-12, 2.98837e-10, 7.28841e-11, 6.36493e-08, 0.334669, 0.167251, 1173, 1173, 0.0627916, 0.0743727, 4.31406e-18, 0.0536461, 0.419209, 0.389973, 7.5982e-06, 0.271405, 0.00160649, 1.09167e-09, 0.00202044, 2.05859e-05, 0.389216, 7.53047e-05, 8.02698e-07, 2.76018e-10, 3.32004e-12, 3.05595e-10, 7.45766e-11, 6.34186e-08, 0.335656, 0.166616, 1173, 1173, 0.0662775, 0.0715982, 4.51232e-18, 0.0524975, 0.415624, 0.393995, 7.59356e-06, 0.272452, 0.00165044, 1.16169e-09, 0.00205797, 2.03599e-05, 0.38534, 7.70334e-05, 7.64545e-07, 2.66746e-10, 3.45159e-12, 3.23802e-10, 7.91018e-11, 6.24541e-08, 0.338401, 0.166688, 1173, 1173, 0.0734412, 0.0655716, 4.83159e-18, 0.0497958, 0.408947, 0.402237, 7.59109e-06, 0.275203, 0.00174282, 1.31159e-09, 0.00214074, 1.97124e-05, 0.376414, 8.07358e-05, 6.8762e-07, 2.47047e-10, 3.74141e-12, 3.63144e-10, 8.88763e-11, 6.00156e-08, 0.344398, 0.141237, 1173, 1173, 0.0850137, 0.0665415, 1.06545e-17, 0.0726355, 0.315114, 0.460686, 8.96873e-06, 0.251849, 0.00270096, 1.58254e-09, 0.00255563, 3.09847e-05, 0.383652, 0.000109815, 4.89421e-07, 2.29349e-10, 4.58559e-12, 4.31868e-10, 1.14668e-10, 8.2808e-08, 0.359101, 
0.00763158, 1.00016e+06, 1.00016e+06, 1.00016e+06, 1.0013e+06, 1.00096e+06, 0.167909, 1173, 1173, 0.0599577, 0.0763479, 4.1577e-18, 0.0539825, 0.423806, 0.385899, 7.58053e-06, 0.271111, 0.00156223, 1.03561e-09, 0.00198631, 2.05505e-05, 0.391775, 7.36301e-05, 8.36347e-07, 2.83041e-10, 3.21656e-12, 2.91197e-10, 7.09269e-11, 6.36551e-08, 0.33347, 0.167626, 1173, 1173, 0.0612957, 0.07536, 4.21016e-18, 0.0536772, 0.422166, 0.387494, 7.57872e-06, 0.271393, 0.00157947, 1.06187e-09, 0.00200046, 2.05084e-05, 0.390467, 7.42987e-05, 8.21394e-07, 2.79669e-10, 3.26476e-12, 2.97977e-10, 7.26135e-11, 6.34019e-08, 0.334464, 0.167035, 1173, 1173, 0.0647452, 0.072589, 4.38436e-18, 0.0525368, 0.418688, 0.391434, 7.57423e-06, 0.272447, 0.00162172, 1.13065e-09, 0.00203706, 2.02825e-05, 0.386643, 7.59713e-05, 7.83041e-07, 2.70431e-10, 3.39186e-12, 3.15832e-10, 7.7029e-11, 6.24452e-08, 0.337155, 0.167161, 1173, 1173, 0.0717401, 0.0666613, 4.70554e-18, 0.049947, 0.412172, 0.399472, 7.57257e-06, 0.275126, 0.00171011, 1.27581e-09, 0.00211707, 1.96635e-05, 0.37799, 7.95313e-05, 7.06438e-07, 2.51076e-10, 3.66807e-12, 3.53858e-10, 8.64372e-11, 6.01012e-08, 0.342956, 0.139702, 1173, 1173, 0.0832866, 0.0678813, 1.06108e-17, 0.0739224, 0.315443, 0.459458, 9.00431e-06, 0.251069, 0.00268126, 1.54476e-09, 0.00253957, 3.13776e-05, 0.385762, 0.00010907, 4.99307e-07, 2.33238e-10, 4.49187e-12, 4.21617e-10, 1.1194e-10, 8.39002e-08, 0.357807, 
0.00789474, 1.00016e+06, 1.00016e+06, 1.00016e+06, 1.00127e+06, 1.00094e+06, 0.168267, 1173, 1173, 0.0585391, 0.0773089, 4.04748e-18, 0.0540199, 0.426558, 0.383566, 7.56253e-06, 0.271079, 0.0015376, 1.00772e-09, 0.00196769, 2.04812e-05, 0.392967, 7.27044e-05, 8.54676e-07, 2.86569e-10, 3.16667e-12, 2.84092e-10, 6.91139e-11, 6.36457e-08, 0.332354, 0.168092, 1173, 1173, 0.0598676, 0.0763109, 4.11038e-18, 0.0536988, 0.424992, 0.385123, 7.56018e-06, 0.271378, 0.00155409, 1.03362e-09, 0.00198149, 2.04336e-05, 0.391658, 7.33492e-05, 8.39622e-07, 2.83182e-10, 3.2134e-12, 2.90772e-10, 7.07656e-11, 6.33813e-08, 0.333333, 0.167462, 1173, 1173, 0.0632975, 0.0735258, 4.25275e-18, 0.0525643, 0.421589, 0.389015, 7.55572e-06, 0.272444, 0.00159508, 1.10155e-09, 0.00201747, 2.02068e-05, 0.387857, 7.49817e-05, 8.00822e-07, 2.73918e-10, 3.3369e-12, 3.08378e-10, 7.50994e-11, 6.2427e-08, 0.33599, 0.167593, 1173, 1173, 0.0701012, 0.0677251, 4.5653e-18, 0.0500875, 0.415246, 0.396833, 7.55503e-06, 0.275039, 0.00167947, 1.24163e-09, 0.00209459, 1.9619e-05, 0.379508, 7.83962e-05, 7.24925e-07, 2.54995e-10, 3.59935e-12, 3.45004e-10, 8.41263e-11, 6.01874e-08, 0.341581, 0.140088, 1173, 1173, 0.0816795, 0.069141, 1.05306e-17, 0.0751693, 0.31561, 0.458392, 9.04008e-06, 0.250312, 0.00266488, 1.50997e-09, 0.00252534, 3.17642e-05, 0.387719, 0.000108431, 5.0834e-07, 2.36845e-10, 4.40631e-12, 4.12182e-10, 1.09445e-10, 8.49552e-08, 0.356638, 
0.00802632, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00126e+06, 1.00093e+06, 0.168504, 1173, 1173, 0.057846, 0.0777799, 4.00343e-18, 0.0540359, 0.4279, 0.38243, 7.5537e-06, 0.271063, 0.00152575, 9.94161e-10, 0.00195866, 2.04471e-05, 0.393547, 7.22574e-05, 8.63736e-07, 2.88297e-10, 3.14277e-12, 2.80644e-10, 6.82372e-11, 6.36397e-08, 0.331813, 0.168231, 1173, 1173, 0.0591794, 0.0767705, 4.06982e-18, 0.0537069, 0.426361, 0.383975, 7.55123e-06, 0.271373, 0.00154198, 1.02008e-09, 0.00197237, 2.03963e-05, 0.392228, 7.28943e-05, 8.48545e-07, 2.84881e-10, 3.18915e-12, 2.87323e-10, 6.98839e-11, 6.33675e-08, 0.332791, 0.167658, 1173, 1173, 0.0625849, 0.0739897, 4.22207e-18, 0.0525774, 0.423007, 0.387834, 7.5467e-06, 0.27244, 0.00158222, 1.0873e-09, 0.00200794, 2.01704e-05, 0.388453, 7.45022e-05, 8.0967e-07, 2.75641e-10, 3.31038e-12, 3.04734e-10, 7.41602e-11, 6.24191e-08, 0.335422, 0.167813, 1173, 1173, 0.0693054, 0.0682427, 4.51812e-18, 0.0501535, 0.416734, 0.395557, 7.54651e-06, 0.274996, 0.00166486, 1.22514e-09, 0.00208379, 1.95969e-05, 0.380238, 7.78531e-05, 7.3401e-07, 2.569e-10, 3.56664e-12, 3.40741e-10, 8.30179e-11, 6.02265e-08, 0.340919, 0.138823, 1173, 1173, 0.0808802, 0.0697709, 1.05212e-17, 0.0758022, 0.315657, 0.457881, 9.05848e-06, 0.249929, 0.00265726, 1.49279e-09, 0.00251847, 3.19617e-05, 0.388687, 0.000108129, 5.12788e-07, 2.38634e-10, 4.36425e-12, 4.07524e-10, 1.08218e-10, 8.54891e-08, 0.356068, 
0.00809211, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00125e+06, 1.00093e+06, 0.168559, 1173, 1173, 0.0575039, 0.0780128, 3.9632e-18, 0.0540433, 0.428562, 0.38187, 7.54935e-06, 0.271054, 0.00151994, 9.87489e-10, 0.00195422, 2.04303e-05, 0.393832, 7.20379e-05, 8.68235e-07, 2.89151e-10, 3.13109e-12, 2.78948e-10, 6.78069e-11, 6.36364e-08, 0.331546, 0.16839, 1173, 1173, 0.0588379, 0.0769994, 4.03358e-18, 0.0537107, 0.427037, 0.383408, 7.54681e-06, 0.271369, 0.00153602, 1.01337e-09, 0.00196787, 2.03781e-05, 0.39251, 7.26703e-05, 8.52995e-07, 2.85726e-10, 3.17723e-12, 2.85617e-10, 6.94488e-11, 6.33611e-08, 0.332523, 0.167767, 1173, 1173, 0.0622336, 0.0742198, 4.12592e-18, 0.052584, 0.423706, 0.387249, 7.54231e-06, 0.272437, 0.00157592, 1.0803e-09, 0.00200323, 2.01524e-05, 0.388747, 7.42664e-05, 8.14074e-07, 2.76495e-10, 3.29743e-12, 3.02943e-10, 7.36995e-11, 6.2415e-08, 0.335141, 0.167915, 1173, 1173, 0.0689095, 0.0685024, 4.44466e-18, 0.0501871, 0.417469, 0.394924, 7.54236e-06, 0.274973, 0.00165767, 1.21697e-09, 0.00207844, 1.95864e-05, 0.380602, 7.7585e-05, 7.38568e-07, 2.57855e-10, 3.55054e-12, 3.38627e-10, 8.24698e-11, 6.02472e-08, 0.340591, 0.139645, 1173, 1173, 0.0804856, 0.0700829, 1.05718e-17, 0.0761172, 0.315671, 0.457634, 9.06772e-06, 0.249738, 0.00265363, 1.48433e-09, 0.00251512, 3.20605e-05, 0.389164, 0.000107983, 5.14974e-07, 2.39517e-10, 4.3436e-12, 4.05232e-10, 1.07616e-10, 8.57551e-08, 0.355788, 
0.00815789, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00125e+06, 1.00092e+06, 0.168696, 1173, 1173, 0.0571658, 0.0782434, 3.95801e-18, 0.0540501, 0.429217, 0.381316, 7.54504e-06, 0.271046, 0.00151422, 9.80902e-10, 0.00194983, 2.04135e-05, 0.394113, 7.18214e-05, 8.72706e-07, 2.89997e-10, 3.11963e-12, 2.77275e-10, 6.73827e-11, 6.36327e-08, 0.331283, 0.168427, 1173, 1173, 0.0585008, 0.0772254, 3.98826e-18, 0.053714, 0.427705, 0.382847, 7.54245e-06, 0.271365, 0.00153016, 1.00677e-09, 0.00196343, 2.036e-05, 0.392789, 7.24498e-05, 8.57408e-07, 2.86561e-10, 3.16555e-12, 2.83938e-10, 6.90207e-11, 6.33541e-08, 0.332259, 0.167857, 1173, 1173, 0.0618867, 0.0744478, 4.10219e-18, 0.0525905, 0.424397, 0.386671, 7.53799e-06, 0.272434, 0.0015697, 1.07338e-09, 0.00199859, 2.01346e-05, 0.389038, 7.40339e-05, 8.18451e-07, 2.77341e-10, 3.28473e-12, 3.01178e-10, 7.32459e-11, 6.24106e-08, 0.334865, 0.168022, 1173, 1173, 0.0685222, 0.0687558, 4.57404e-18, 0.0502189, 0.418192, 0.394303, 7.53825e-06, 0.274951, 0.00165066, 1.20898e-09, 0.00207321, 1.95755e-05, 0.380956, 7.73231e-05, 7.43046e-07, 2.58786e-10, 3.53488e-12, 3.36565e-10, 8.19354e-11, 6.02656e-08, 0.340271, 0.138524, 1173, 1173, 0.0800924, 0.0703945, 1.05075e-17, 0.0764345, 0.315678, 0.457391, 9.07708e-06, 0.249546, 0.0026501, 1.47593e-09, 0.00251182, 3.21602e-05, 0.389639, 0.00010784, 5.17144e-07, 2.40396e-10, 4.32311e-12, 4.02954e-10, 1.07017e-10, 8.60222e-08, 0.355512, 
