z, Pressure_0, Pressure_1, Pressure_2, Pressure_3, Pressure_4, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, Velocity_3_3, GasTemperature_3_3, SolidTemperature_3_3, CH4_3_3, CO_3_3, O2_3_3, CO2_3_3, H2_3_3, H2O_3_3, AR_3_3, H(s)_3_3, O(s)_3_3, CH4(s)_3_3, H2O(s)_3_3, CO2(s)_3_3, CO(s)_3_3, OH(s)_3_3, C(s)_3_3, HCO(s)_3_3, CH(s)_3_3, CH3(s)_3_3, CH2(s)_3_3, COOH(s)_3_3, Ni(s)_3_3, Velocity_4_4, GasTemperature_4_4, SolidTemperature_4_4, CH4_4_4, CO_4_4, O2_4_4, CO2_4_4, H2_4_4, H2O_4_4, AR_4_4, H(s)_4_4, O(s)_4_4, CH4(s)_4_4, H2O(s)_4_4, CO2(s)_4_4, CO(s)_4_4, OH(s)_4_4, C(s)_4_4, HCO(s)_4_4, CH(s)_4_4, CH3(s)_4_4, CH2(s)_4_4, COOH(s)_4_4, Ni(s)_4_4, 
0.000526316, 1.00024e+06, 1.00024e+06, 1.00024e+06, 1.00193e+06, 1.00156e+06, 0.141889, 1173, 1173, 0.174248, 0.0183702, 4.82677e-17, 0.0288804, 0.189471, 0.589022, 8.88359e-06, 0.256102, 0.00753333, 4.25182e-09, 0.00428332, 2.37971e-05, 0.260734, 0.000237423, 8.37031e-08, 6.43385e-11, 1.47463e-11, 1.22693e-09, 3.80053e-10, 4.93698e-08, 0.471086, 0.141723, 1173, 1173, 0.174511, 0.0183438, 4.93763e-17, 0.0290504, 0.188199, 0.589887, 8.89985e-06, 0.255527, 0.00760388, 4.26302e-09, 0.00429441, 2.39852e-05, 0.260698, 0.000238841, 8.29969e-08, 6.41016e-11, 1.48379e-11, 1.23147e-09, 3.82224e-10, 4.9593e-08, 0.471614, 0.141347, 1173, 1173, 0.175803, 0.0181928, 5.23495e-17, 0.0296371, 0.182701, 0.593657, 8.95616e-06, 0.253067, 0.00792335, 4.31671e-09, 0.00434415, 2.47858e-05, 0.260349, 0.000245214, 7.98314e-08, 6.29615e-11, 1.52642e-11, 1.25302e-09, 3.9234e-10, 5.04965e-08, 0.474046, 0.138745, 1173, 1173, 0.187685, 0.0145401, 7.66056e-17, 0.0239909, 0.157218, 0.616557, 9.07032e-06, 0.246463, 0.0100305, 4.84224e-09, 0.00474066, 2.51032e-05, 0.241196, 0.000288214, 5.57224e-08, 4.90906e-11, 1.86443e-11, 1.45073e-09, 4.74237e-10, 4.75089e-08, 0.497257, 0.137695, 1173, 1173, 0.188958, 0.0144864, 8.44984e-17, 0.024704, 0.150875, 0.620967, 9.1363e-06, 0.242787, 0.0105875, 4.90134e-09, 0.00480028, 2.63869e-05, 0.241376, 0.000297964, 5.32099e-08, 4.81617e-11, 1.93222e-11, 1.48132e-09, 4.89989e-10, 4.89151e-08, 0.500124, 
0.00157895, 1.00023e+06, 1.00023e+06, 1.00023e+06, 1.00185e+06, 1.00147e+06, 0.150508, 1173, 1173, 0.132393, 0.0345351, 1.61956e-17, 0.0429127, 0.280789, 0.509362, 8.40404e-06, 0.269129, 0.00379518, 2.78882e-09, 0.00319753, 2.25691e-05, 0.31704, 0.000145604, 2.31891e-07, 1.27103e-10, 8.00801e-12, 7.66046e-10, 2.10277e-10, 5.69352e-08, 0.40667, 0.150273, 1173, 1173, 0.13266, 0.0346124, 1.68295e-17, 0.0434672, 0.278526, 0.510726, 8.4323e-06, 0.268298, 0.00383993, 2.79712e-09, 0.00320915, 2.28862e-05, 0.317425, 0.000146725, 2.30143e-07, 1.26994e-10, 8.05936e-12, 7.6863e-10, 2.11532e-10, 5.75022e-08, 0.407058, 0.149053, 1173, 1173, 0.134928, 0.0339159, 1.89315e-17, 0.0438734, 0.271335, 0.51594, 8.48882e-06, 0.26672, 0.0040106, 2.86542e-09, 0.00326526, 2.34215e-05, 0.315838, 0.000151256, 2.19058e-07, 1.23707e-10, 8.34459e-12, 7.88709e-10, 2.18861e-10, 5.80843e-08, 0.409991, 0.147706, 1173, 1173, 0.147589, 0.0274627, 2.2634e-17, 0.0373238, 0.251908, 0.535708, 8.52431e-06, 0.268196, 0.00467701, 3.27355e-09, 0.00354099, 2.21457e-05, 0.295881, 0.000170096, 1.65764e-07, 1.00887e-10, 9.83297e-12, 9.0854e-10, 2.57886e-10, 5.29732e-08, 0.427513, 0.14444, 1173, 1173, 0.151887, 0.02706, 2.79289e-17, 0.0402992, 0.230464, 0.550281, 8.77686e-06, 0.260538, 0.00533426, 3.42087e-09, 0.00369349, 2.48745e-05, 0.295946, 0.000185524, 1.47766e-07, 9.65328e-11, 1.07159e-11, 9.57359e-10, 2.79408e-10, 5.69076e-08, 0.434278, 
0.00263158, 1.00022e+06, 1.00022e+06, 1.00021e+06, 1.00176e+06, 1.00138e+06, 0.155838, 1173, 1173, 0.108751, 0.0462901, 1.0048e-17, 0.0483477, 0.329316, 0.467287, 8.1387e-06, 0.271418, 0.00276465, 2.13332e-09, 0.00273171, 2.20449e-05, 0.344235, 0.000114866, 3.69783e-07, 1.71814e-10, 5.85239e-12, 5.81923e-10, 1.51921e-10, 6.02085e-08, 0.378713, 0.155268, 1173, 1173, 0.109377, 0.0461916, 1.05841e-17, 0.0488226, 0.326494, 0.469107, 8.16633e-06, 0.270733, 0.00280439, 2.1494e-09, 0.00274722, 2.2314e-05, 0.34419, 0.000116016, 3.65066e-07, 1.71015e-10, 5.91081e-12, 5.86328e-10, 1.53494e-10, 6.0682e-08, 0.379386, 0.154431, 1173, 1173, 0.112448, 0.04475, 1.0757e-17, 0.0486385, 0.319494, 0.474661, 8.2047e-06, 0.270135, 0.00292486, 2.2289e-09, 0.00280383, 2.25456e-05, 0.341321, 0.000119696, 3.45026e-07, 1.65312e-10, 6.15747e-12, 6.08192e-10, 1.60307e-10, 6.06525e-08, 0.382673, 0.153381, 1173, 1173, 0.124005, 0.0374648, 1.28178e-17, 0.0428691, 0.305012, 0.49064, 8.20812e-06, 0.273464, 0.00327855, 2.54861e-09, 0.00300508, 2.11874e-05, 0.323927, 0.000131196, 2.76708e-07, 1.40322e-10, 7.09439e-12, 6.97294e-10, 1.86339e-10, 5.5741e-08, 0.396172, 0.145498, 1173, 1173, 0.130827, 0.0368348, 1.83657e-17, 0.0487478, 0.268647, 0.514934, 8.65918e-06, 0.262577, 0.00399759, 2.75043e-09, 0.00322615, 2.53857e-05, 0.324621, 0.000150103, 2.33607e-07, 1.32419e-10, 8.05497e-12, 7.57048e-10, 2.10697e-10, 6.26758e-08, 0.405402, 
0.00368421, 1.0002e+06, 1.0002e+06, 1.0002e+06, 1.00166e+06, 1.0013e+06, 0.159517, 1173, 1173, 0.0926907, 0.0554239, 7.45038e-18, 0.0510895, 0.360812, 0.439976, 7.96337e-06, 0.271706, 0.00227224, 1.73894e-09, 0.00245982, 2.16964e-05, 0.361249, 9.88178e-05, 4.92589e-07, 2.05931e-10, 4.76483e-12, 4.75135e-10, 1.20629e-10, 6.20182e-08, 0.362193, 0.159186, 1173, 1173, 0.0935685, 0.0551144, 7.44225e-18, 0.0513789, 0.358078, 0.441853, 7.98341e-06, 0.271277, 0.00230448, 1.75932e-09, 0.00247582, 2.18813e-05, 0.360821, 9.98393e-05, 4.85144e-07, 2.04458e-10, 4.82207e-12, 4.8054e-10, 1.2229e-10, 6.23093e-08, 0.362999, 0.158071, 1173, 1173, 0.0969952, 0.0531291, 7.83273e-18, 0.0507549, 0.352013, 0.4471, 8.00366e-06, 0.271384, 0.0023933, 1.84011e-09, 0.0025277, 2.19055e-05, 0.357313, 0.000102806, 4.58451e-07, 1.9717e-10, 5.03251e-12, 5.02225e-10, 1.28462e-10, 6.1849e-08, 0.366257, 0.157664, 1173, 1173, 0.107491, 0.0456571, 9.10244e-18, 0.0457789, 0.340554, 0.460511, 7.99517e-06, 0.275123, 0.0026243, 2.10335e-09, 0.00268539, 2.06704e-05, 0.342212, 0.00011096, 3.81757e-07, 1.72026e-10, 5.70625e-12, 5.73928e-10, 1.48135e-10, 5.74492e-08, 0.377223, 0.146706, 1173, 1173, 0.116315, 0.0449108, 1.44847e-17, 0.0547843, 0.29034, 0.49364, 8.64502e-06, 0.261452, 0.00339652, 2.34205e-09, 0.0029621, 2.63006e-05, 0.343719, 0.000132577, 3.07398e-07, 1.60747e-10, 6.69225e-12, 6.40879e-10, 1.74125e-10, 6.74918e-08, 0.388311, 
0.00473684, 1.00019e+06, 1.00019e+06, 1.00019e+06, 1.00157e+06, 1.00121e+06, 0.162402, 1173, 1173, 0.0809789, 0.0625839, 6.00474e-18, 0.0525337, 0.383483, 0.420413, 7.83125e-06, 0.271617, 0.00198094, 1.47315e-09, 0.00227916, 2.13597e-05, 0.3728, 8.88139e-05, 5.99834e-07, 2.32456e-10, 4.11792e-12, 4.04626e-10, 1.00944e-10, 6.29407e-08, 0.351212, 0.161899, 1173, 1173, 0.082088, 0.0620172, 6.01656e-18, 0.0525963, 0.381012, 0.422278, 7.84236e-06, 0.271462, 0.00200796, 1.4973e-09, 0.00229537, 2.1455e-05, 0.371976, 8.9735e-05, 5.89535e-07, 2.30219e-10, 4.17523e-12, 4.10957e-10, 1.02713e-10, 6.30176e-08, 0.352147, 0.161258, 1173, 1173, 0.0857423, 0.0595835, 5.53513e-18, 0.0516496, 0.375791, 0.427226, 7.8497e-06, 0.272064, 0.00207857, 1.57827e-09, 0.00234353, 2.13375e-05, 0.368027, 9.22519e-05, 5.57247e-07, 2.21675e-10, 4.36186e-12, 4.32417e-10, 1.08475e-10, 6.22425e-08, 0.355372, 0.160883, 1173, 1173, 0.095025, 0.0524856, 7.13696e-18, 0.0475182, 0.366456, 0.438508, 7.84004e-06, 0.2756, 0.00224273, 1.79553e-09, 0.00246922, 2.03071e-05, 0.355272, 9.83613e-05, 4.78784e-07, 1.98078e-10, 4.86574e-12, 4.90773e-10, 1.23854e-10, 5.85387e-08, 0.364296, 0.144886, 1173, 1173, 0.105128, 0.0520113, 1.26055e-17, 0.060191, 0.303082, 0.479579, 8.6944e-06, 0.25908, 0.003066, 2.05293e-09, 0.00279091, 2.74951e-05, 0.358281, 0.000122268, 3.70889e-07, 1.84456e-10, 5.83236e-12, 5.60486e-10, 1.50324e-10, 7.20796e-08, 0.376631, 
0.00578947, 1.00018e+06, 1.00018e+06, 1.00018e+06, 1.00147e+06, 1.00112e+06, 0.164682, 1173, 1173, 0.0716966, 0.0685522, 5.10932e-18, 0.053402, 0.401153, 0.405189, 7.72552e-06, 0.271378, 0.00178292, 1.27411e-09, 0.0021458, 2.10585e-05, 0.381501, 8.1756e-05, 6.96573e-07, 2.54396e-10, 3.68158e-12, 3.5259e-10, 8.69299e-11, 6.3464e-08, 0.343089, 0.164496, 1173, 1173, 0.0729027, 0.0678119, 5.16685e-18, 0.0532855, 0.399094, 0.406899, 7.72951e-06, 0.271431, 0.00180467, 1.29914e-09, 0.00216084, 2.10851e-05, 0.380457, 8.25408e-05, 6.84533e-07, 2.51698e-10, 3.73445e-12, 3.59105e-10, 8.86476e-11, 6.33811e-08, 0.344041, 0.163641, 1173, 1173, 0.0765178, 0.0651758, 5.17423e-18, 0.0521967, 0.394694, 0.411408, 7.72887e-06, 0.272296, 0.00186117, 1.3755e-09, 0.00220392, 2.08995e-05, 0.376477, 8.46543e-05, 6.49198e-07, 2.42685e-10, 3.89446e-12, 3.79162e-10, 9.38256e-11, 6.24769e-08, 0.347056, 0.163606, 1173, 1173, 0.0850044, 0.0583527, 5.94335e-18, 0.0486658, 0.386615, 0.421355, 7.72065e-06, 0.275605, 0.00198883, 1.56371e-09, 0.00230988, 2.00204e-05, 0.36529, 8.95881e-05, 5.68917e-07, 2.20203e-10, 4.29651e-12, 4.29176e-10, 1.06625e-10, 5.92725e-08, 0.354696, 0.144377, 1173, 1173, 0.0958805, 0.0583783, 1.1458e-17, 0.0651667, 0.310963, 0.469603, 8.78082e-06, 0.256378, 0.00285884, 1.82912e-09, 0.00266975, 2.87749e-05, 0.369982, 0.000115474, 4.26053e-07, 2.04858e-10, 5.21585e-12, 4.99034e-10, 1.32869e-10, 7.64021e-08, 0.367967, 
0.00684211, 1.00017e+06, 1.00017e+06, 1.00017e+06, 1.00137e+06, 1.00103e+06, 0.166638, 1173, 1173, 0.0646391, 0.0732063, 4.4639e-18, 0.053802, 0.414776, 0.393569, 7.63887e-06, 0.271223, 0.00164625, 1.12902e-09, 0.00204857, 2.07646e-05, 0.387766, 7.67598e-05, 7.78229e-07, 2.71509e-10, 3.39073e-12, 3.15113e-10, 7.70882e-11, 6.36305e-08, 0.337218, 0.166235, 1173, 1173, 0.0659014, 0.0723453, 4.58574e-18, 0.0535807, 0.412984, 0.395181, 7.63922e-06, 0.271403, 0.00166486, 1.15433e-09, 0.00206278, 2.07523e-05, 0.386598, 7.74597e-05, 7.64797e-07, 2.68493e-10, 3.43991e-12, 3.21667e-10, 7.87554e-11, 6.34554e-08, 0.338172, 0.165744, 1173, 1173, 0.0695179, 0.0695311, 4.60949e-18, 0.0524123, 0.409094, 0.399437, 7.63517e-06, 0.272439, 0.00171337, 1.22812e-09, 0.00210289, 2.05258e-05, 0.382569, 7.93402e-05, 7.26566e-07, 2.59034e-10, 3.58337e-12, 3.40916e-10, 8.35922e-11, 6.24673e-08, 0.341074, 0.165743, 1173, 1173, 0.077023, 0.0632998, 5.08433e-18, 0.0494645, 0.402111, 0.408094, 7.6303e-06, 0.275353, 0.0018144, 1.38798e-09, 0.00219153, 1.98118e-05, 0.373044, 8.33488e-05, 6.49169e-07, 2.38629e-10, 3.90259e-12, 3.83045e-10, 9.41501e-11, 5.98142e-08, 0.347493, 0.141359, 1173, 1173, 0.0883671, 0.0639899, 1.08348e-17, 0.0702575, 0.314142, 0.463235, 8.90408e-06, 0.253285, 0.00274401, 1.65693e-09, 0.00258847, 3.02723e-05, 0.379541, 0.000111396, 4.70035e-07, 2.21822e-10, 4.77259e-12, 4.52081e-10, 1.20093e-10, 8.0782e-08, 0.361699, 
0.00736842, 1.00016e+06, 1.00016e+06, 1.00016e+06, 1.00132e+06, 1.00099e+06, 0.167453, 1173, 1173, 0.0614357, 0.0753435, 4.26146e-18, 0.0539277, 0.420975, 0.38831, 7.59883e-06, 0.271156, 0.00158813, 1.06487e-09, 0.00200577, 2.06164e-05, 0.390509, 7.46008e-05, 8.1762e-07, 2.79365e-10, 3.26994e-12, 2.98673e-10, 7.28414e-11, 6.36459e-08, 0.334645, 0.167325, 1173, 1173, 0.0627948, 0.0743546, 4.42596e-18, 0.0536307, 0.419263, 0.389949, 7.59748e-06, 0.271428, 0.00160622, 1.09174e-09, 0.00202036, 2.05774e-05, 0.389186, 7.52968e-05, 8.0267e-07, 2.75974e-10, 3.3201e-12, 3.05618e-10, 7.4579e-11, 6.33964e-08, 0.335663, 0.166599, 1173, 1173, 0.0662368, 0.0716268, 4.52545e-18, 0.0525029, 0.415698, 0.393928, 7.59332e-06, 0.272449, 0.0016497, 1.16086e-09, 0.00205742, 2.03589e-05, 0.385379, 7.70058e-05, 7.65038e-07, 2.6685e-10, 3.44999e-12, 3.23588e-10, 7.90464e-11, 6.24566e-08, 0.338367, 0.166678, 1173, 1173, 0.0734146, 0.0655768, 4.82709e-18, 0.0497931, 0.409019, 0.402189, 7.59061e-06, 0.275215, 0.00174223, 1.31105e-09, 0.00214039, 1.97073e-05, 0.376418, 8.07156e-05, 6.87845e-07, 2.47077e-10, 3.7402e-12, 3.63006e-10, 8.88382e-11, 6.00053e-08, 0.344383, 0.141256, 1173, 1173, 0.0850349, 0.0665064, 1.06836e-17, 0.072562, 0.315233, 0.460655, 8.96715e-06, 0.251904, 0.00269984, 1.58298e-09, 0.00255553, 3.09555e-05, 0.383587, 0.00010979, 4.89396e-07, 2.29278e-10, 4.58615e-12, 4.31992e-10, 1.14687e-10, 8.27455e-08, 0.359112, 
0.00789474, 1.00016e+06, 1.00016e+06, 1.00016e+06, 1.00127e+06, 1.00094e+06, 0.168322, 1173, 1173, 0.0584684, 0.0773657, 4.04551e-18, 0.0540371, 0.42665, 0.383471, 7.56224e-06, 0.271063, 0.00153663, 1.00633e-09, 0.00196687, 2.04833e-05, 0.393041, 7.26663e-05, 8.55558e-07, 2.86763e-10, 3.16424e-12, 2.83735e-10, 6.90256e-11, 6.36591e-08, 0.332298, 0.167992, 1173, 1173, 0.0597533, 0.0764105, 4.09177e-18, 0.0537297, 0.425121, 0.384978, 7.56002e-06, 0.271343, 0.0015526, 1.03136e-09, 0.00198019, 2.04406e-05, 0.391791, 7.32898e-05, 8.4105e-07, 2.83514e-10, 3.20942e-12, 2.90187e-10, 7.06215e-11, 6.34126e-08, 0.333239, 0.167508, 1173, 1173, 0.0632736, 0.0735375, 4.2594e-18, 0.0525685, 0.421635, 0.388978, 7.55508e-06, 0.272446, 0.00159468, 1.10108e-09, 0.00201719, 2.0205e-05, 0.387871, 7.4967e-05, 8.01075e-07, 2.73964e-10, 3.33599e-12, 3.08258e-10, 7.50684e-11, 6.24247e-08, 0.335975, 0.167624, 1173, 1173, 0.0700936, 0.0677261, 4.4961e-18, 0.0500896, 0.415284, 0.396799, 7.55451e-06, 0.275046, 0.00167914, 1.24147e-09, 0.00209437, 1.96155e-05, 0.379507, 7.83845e-05, 7.2505e-07, 2.55006e-10, 3.59901e-12, 3.44965e-10, 8.41144e-11, 6.01793e-08, 0.341574, 0.139119, 1173, 1173, 0.0815363, 0.0692601, 1.05903e-17, 0.0752596, 0.315698, 0.458237, 9.04054e-06, 0.250261, 0.00266232, 1.50681e-09, 0.00252362, 3.17883e-05, 0.387897, 0.000108342, 5.09354e-07, 2.37204e-10, 4.3983e-12, 4.11323e-10, 1.0921e-10, 8.50315e-08, 0.356515, 
0.00842105, 1.00015e+06, 1.00015e+06, 1.00015e+06, 1.00122e+06, 1.0009e+06, 0.16903, 1173, 1173, 0.0558312, 0.0791497, 3.86528e-18, 0.054065, 0.431822, 0.379125, 7.52769e-06, 0.271021, 0.00149178, 9.55019e-10, 0.00193259, 2.0344e-05, 0.395209, 7.09714e-05, 8.90517e-07, 2.93328e-10, 3.07507e-12, 2.70712e-10, 6.57222e-11, 6.36078e-08, 0.330253, 0.168901, 1173, 1173, 0.0572207, 0.078067, 3.86816e-18, 0.0537011, 0.430323, 0.38068, 7.5247e-06, 0.271379, 0.00150772, 9.81784e-10, 0.00194646, 2.028e-05, 0.39381, 7.16051e-05, 8.74385e-07, 2.89697e-10, 3.12182e-12, 2.776e-10, 6.74057e-11, 6.32977e-08, 0.331264, 0.168264, 1173, 1173, 0.0604936, 0.0753623, 4.02662e-18, 0.0526, 0.427213, 0.384323, 7.5203e-06, 0.272431, 0.00154476, 1.04575e-09, 0.00197987, 2.00581e-05, 0.390194, 7.30987e-05, 8.3631e-07, 2.80744e-10, 3.23456e-12, 2.94132e-10, 7.14383e-11, 6.23791e-08, 0.333756, 0.168426, 1173, 1173, 0.0669285, 0.069792, 4.32068e-18, 0.0503307, 0.421184, 0.391757, 7.52104e-06, 0.274873, 0.00162211, 1.17631e-09, 0.00205188, 1.95266e-05, 0.382389, 7.62564e-05, 7.61622e-07, 2.62605e-10, 3.47146e-12, 3.28141e-10, 7.97578e-11, 6.03284e-08, 0.338968, 0.138907, 1173, 1173, 0.078568, 0.0715893, 1.04376e-17, 0.0776429, 0.315724, 0.456467, 9.11449e-06, 0.248823, 0.00263654, 1.44352e-09, 0.00249927, 3.25381e-05, 0.39144, 0.000107295, 5.25485e-07, 2.43762e-10, 4.24409e-12, 3.9418e-10, 1.04711e-10, 8.70382e-08, 0.35446, 
